16 1789 2664 4300 
16 5487 5963 9649 334 
16 5822 5900 9930 380 
16 5279 5837 9541 347 
16 5382 6119 9653 333 
16 10790 6393 10200 371 
16 12093 6309 10209 331 
512 7654556 7630794 12486139 7414807 
32 52345 39107 66892 2221 
32 52069 36435 80402 2219 
32 37689 36564 81758 2222 
32 35800 36452 37828 2219 
256 1935385 2002230 2031428 979385 
16 12222 6149 11155 343 
16 9060 6201 11315 336 
16 8691 6266 11257 336 
16 8587 6151 230881 333 
16 6408 3651 198545 250 
16 6175 3878 3201 162 
128 2350039 2511831 6081894 54266 
128 493147 488843 1263696 120722 
512 7596803 7598192 4598574 7384259 
32 36570 38228 81873 2219 
16 8834 6176 23623 362 
16 8842 6441 24485 356 
16 8956 6380 6185 332 
512 7584941 7615890 20003083 7383771 
64 127062 127820 325064 16953 
64 130042 128307 319566 16068 
64 126916 128243 319410 15976 
256 1978621 2013801 5048948 944886 
256 1946309 1938895 5025370 945475 
256 2114804 2174015 5394130 995910 
16 0 0 13037 381 
128 0 0 21127199 131058 
64 0 0 2091453 17208 
64 0 0 1296004 17218 
128 0 0 20465554 121089 
256 0 0 963104 
256 0 0 311318128 943997 
128 0 15212073 0 121325 
128 0 15111934 0 121490 
16 0 0 1730227 333 
16 0 0 5671 386 
16 0 0 10824 794 
16 0 0 5108 344 
16 0 0 11228 833 
16 0 0 10921 819 
16 0 0 12446 892 
16 0 0 7307 390 
16 530074 0 0 4609 335 
16 556303 0 6881 0 324 
16 509628 0 4551 0 166 
16 560217 0 8309 0 320 
16 2824 0 6848 1 331 
16 1 0 0 6083 3669 378 
